H01,高畑駅,0,
H02,八田駅,0.9,
H03,岩塚駅,2,
H04,中村公園駅,3.1,
H05,中村日赤駅,3.9,
H06,本陣駅,4.6,
H07,亀島駅,5.5,
H08,名古屋駅,6.6,S02
H09,伏見駅,8,T07
H10,栄駅,9,M05
H11,新栄町駅,10.1,
H12,千種駅,11,
H13,今池駅,11.7,S08
H14,池下駅,12.6,
H15,覚王山駅,13.2,
H16,本山駅,14.2,M17
H17,東山公園駅,15.1,
H18,星ヶ丘駅,16.2,
H19,一社駅,17.5,
H20,上社駅,18.6,
H21,本郷駅,19.3,
H22,藤が丘駅,20.6,
T01,上小田井駅,0,
T02,庄内緑地公園駅,1.4,
T03,庄内通駅,2.7,
T04,浄心駅,4.1,
T05,浅間町駅,4.9,
T06,丸の内駅,6.3,S04
T07,伏見駅,7,H09
T08,大須観音駅,7.8,
T09,上前津駅,8.8,M03
T10,鶴舞駅,9.7,
T11,荒畑駅,11,
T12,御器所駅,11.9,S10
T13,川名駅,13.1,
T14,いりなか駅,14.1,
T15,八事駅,15,M20
T16,塩釜口駅,16.4,
T17,植田駅,17.6,
T18,原駅,18.4,
T19,平針駅,19.3,
T20,赤池駅,20.4,
M01,金山駅,26.4,E01
M02,東別院駅,0.7,
M03,上前津駅,1.6,T09
M04,矢場町駅,2.3,
M05,栄駅,3,H10
M06,久屋大通駅,3.4,S05
M07,市役所駅,4.3,
M08,名城公園駅,5.4,
M09,黒川駅,6.4,
M10,志賀本通駅,7.4,
M11,平安通駅,8.2,K02
M12,大曽根駅,8.9,
M13,ナゴヤドーム前矢田駅,9.7,
M14,砂田橋駅,10.6,
M15,茶屋ヶ坂駅,11.5,
M16,自由ヶ丘駅,12.7,
M17,本山駅,14.1,H16
M18,名古屋大学駅,15.1,
M19,八事日赤駅,16.2,
M20,八事駅,17.2,T15
M21,総合リハビリセンター駅,18.5,
M22,瑞穂運動場東駅,19.5,
M23,新瑞橋駅,20.7,S14
M24,妙音通駅,21.4,
M25,堀田駅,22.2,
M26,伝馬町駅,23.4,
M27,神宮西駅,24.4,
M28,西高蔵駅,25.3,
E01,金山駅,0,M01
E02,日比野駅,1.5,
E03,六番町駅,2.6,
E04,東海通駅,3.8,
E05,港区役所駅,4.6,
E06,築地口駅,5.4,
E07,名古屋港駅,6,
S01,中村区役所駅,0,
S02,名古屋駅,0.9,H08
S03,国際センター駅,1.6,
S04,丸の内駅,2.4,T06
S05,久屋大通駅,3.3,M06
S06,高岳駅,4,
S07,車道駅,5.3,
S08,今池駅,6.3,H13
S09,吹上駅,7.4,
S10,御器所駅,8.4,T12
S11,桜山駅,9.5,
S12,瑞穂区役所駅,10.4,
S13,瑞穂運動場西駅,11.1,
S14,新瑞橋駅,11.8,M23
S15,桜本町駅,12.9,
S16,鶴里駅,13.8,
S17,野並駅,14.9,
S18,鳴子北駅,16,
S19,相生山駅,16.9,
S20,神沢駅,18.3,
S21,徳重駅,19.1,
K01,上飯田駅,0,
K02,平安通駅,0.8,M11
